LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/7/2022;"24";"17";"29";"17";"67";"20";"7";"17";"0";"1013";"0";"0";"pioggia temporale "
Torino;2/7/2022;"27";"21";"31";"17";"59";"19";"7";"11";"0";"1018";"0";"0";""
Torino;3/7/2022;"28";"22";"34";"18";"57";"20";"6";"17";"0";"1018";"0";"0";"pioggia temporale "
Torino;4/7/2022;"26";"22";"30";"18";"64";"20";"8";"21";"0";"1017";"0";"0";"pioggia temporale "
Torino;5/7/2022;"27";"20";"33";"16";"54";"20";"8";"17";"0";"1015";"0";"0";"pioggia "
Torino;6/7/2022;"26";"22";"30";"16";"55";"20";"10";"22";"0";"1018";"0";"0";""
Torino;7/7/2022;"27";"22";"31";"18";"59";"20";"7";"13";"0";"1016";"0";"0";"pioggia temporale "
Torino;8/7/2022;"26";"19";"31";"12";"45";"20";"7";"13";"0";"1020";"0";"0";""
Torino;9/7/2022;"25";"18";"29";"13";"50";"19";"8";"15";"0";"1021";"0";"0";""
Torino;10/7/2022;"26";"18";"31";"14";"50";"19";"7";"11";"0";"1017";"0";"0";""
Torino;11/7/2022;"26";"20";"30";"15";"52";"22";"9";"13";"0";"1017";"0";"0";""
Torino;12/7/2022;"26";"21";"30";"16";"57";"20";"9";"15";"0";"1020";"0";"0";""
Torino;13/7/2022;"26";"22";"31";"16";"56";"19";"8";"13";"0";"1023";"0";"0";""
Torino;14/7/2022;"27";"21";"33";"17";"58";"21";"6";"11";"0";"1020";"0";"0";""
Torino;15/7/2022;"28";"21";"35";"17";"51";"20";"6";"15";"0";"1014";"0";"0";""
Torino;16/7/2022;"28";"21";"33";"17";"53";"20";"7";"13";"0";"1016";"0";"0";""
Torino;17/7/2022;"28";"23";"33";"17";"51";"20";"9";"18";"0";"1020";"0";"0";""
Torino;18/7/2022;"28";"24";"34";"17";"53";"22";"10";"15";"0";"1022";"0";"0";"pioggia "
Torino;19/7/2022;"29";"25";"34";"17";"50";"22";"8";"11";"0";"1020";"0";"0";""
Torino;20/7/2022;"29";"25";"35";"16";"47";"19";"7";"11";"0";"1019";"0";"0";""
Torino;21/7/2022;"30";"22";"35";"16";"45";"20";"8";"17";"0";"1017";"0";"0";""
Torino;22/7/2022;"30";"24";"36";"16";"47";"21";"9";"17";"0";"1017";"0";"0";"pioggia temporale "
Torino;23/7/2022;"29";"23";"34";"17";"51";"21";"6";"13";"0";"1016";"0";"0";""
Torino;24/7/2022;"29";"23";"35";"20";"58";"23";"8";"17";"0";"1017";"0";"0";""
Torino;25/7/2022;"30";"23";"37";"20";"59";"19";"8";"22";"0";"1014";"0";"0";"pioggia temporale "
Torino;26/7/2022;"28";"20";"34";"18";"60";"21";"7";"13";"0";"1010";"0";"0";"pioggia temporale "
Torino;27/7/2022;"26";"20";"31";"17";"62";"21";"9";"31";"0";"1012";"0";"0";"pioggia temporale "
Torino;28/7/2022;"26";"23";"30";"16";"55";"21";"13";"22";"0";"1014";"0";"0";""
Torino;29/7/2022;"24";"20";"27";"18";"73";"19";"7";"17";"0";"1015";"0";"0";"pioggia temporale "
Torino;30/7/2022;"25";"16";"32";"15";"60";"23";"8";"15";"0";"1016";"0";"0";""
Torino;31/7/2022;"27";"20";"33";"12";"42";"20";"9";"13";"0";"1017";"0";"0";""
