LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/4/2018;"11";"2";"19";"3";"46";"19";"9";"26";"0";"1006";"0";"0";""
Torino;2/4/2018;"11";"5";"16";"5";"48";"19";"8";"17";"0";"1014";"0";"0";""
Torino;3/4/2018;"9";"8";"10";"7";"89";"13";"6";"11";"0";"1017";"0";"0";"pioggia "
Torino;4/4/2018;"8";"7";"10";"8";"95";"11";"6";"11";"0";"1015";"0";"0";"pioggia "
Torino;5/4/2018;"11";"4";"18";"7";"75";"17";"6";"11";"0";"1014";"0";"0";"nebbia "
Torino;6/4/2018;"13";"7";"19";"5";"58";"20";"7";"11";"0";"1019";"0";"0";""
Torino;7/4/2018;"14";"12";"17";"9";"69";"9";"5";"9";"0";"1019";"0";"0";""
Torino;8/4/2018;"14";"10";"17";"8";"71";"12";"7";"15";"0";"1015";"0";"0";"pioggia "
Torino;9/4/2018;"11";"10";"13";"9";"86";"13";"10";"22";"0";"1011";"0";"0";"pioggia "
Torino;10/4/2018;"11";"10";"13";"9";"89";"12";"12";"24";"0";"1008";"0";"0";"pioggia "
Torino;11/4/2018;"9";"8";"11";"7";"87";"12";"10";"17";"0";"1008";"0";"0";"pioggia "
Torino;12/4/2018;"9";"7";"12";"7";"89";"12";"12";"26";"0";"1005";"0";"0";"pioggia nebbia "
Torino;13/4/2018;"10";"7";"15";"7";"81";"17";"8";"11";"0";"1013";"0";"0";"pioggia "
Torino;14/4/2018;"14";"9";"18";"7";"65";"20";"5";"9";"0";"1020";"0";"0";"pioggia "
Torino;15/4/2018;"13";"9";"18";"7";"63";"20";"10";"24";"0";"1014";"0";"0";"pioggia "
Torino;16/4/2018;"16";"8";"23";"7";"58";"20";"7";"13";"0";"1011";"0";"0";""
Torino;17/4/2018;"18";"10";"24";"8";"51";"18";"7";"15";"0";"1020";"0";"0";""
Torino;18/4/2018;"19";"14";"24";"9";"54";"18";"7";"15";"0";"1028";"0";"0";""
Torino;19/4/2018;"19";"12";"25";"8";"51";"20";"7";"13";"0";"1028";"0";"0";""
Torino;20/4/2018;"20";"12";"27";"7";"46";"20";"6";"11";"0";"1025";"0";"0";""
Torino;21/4/2018;"21";"12";"28";"7";"42";"20";"6";"15";"0";"1020";"0";"0";""
Torino;22/4/2018;"21";"14";"26";"10";"49";"21";"6";"11";"0";"1017";"0";"0";""
Torino;23/4/2018;"20";"15";"26";"11";"56";"20";"6";"11";"0";"1016";"0";"0";"pioggia temporale "
Torino;24/4/2018;"20";"13";"25";"10";"55";"21";"5";"9";"0";"1016";"0";"0";""
Torino;25/4/2018;"20";"14";"26";"12";"62";"23";"5";"9";"0";"1015";"0";"0";""
Torino;26/4/2018;"20";"12";"25";"12";"63";"21";"7";"9";"0";"1012";"0";"0";""
Torino;27/4/2018;"16";"14";"19";"12";"77";"17";"8";"17";"0";"1014";"0";"0";"pioggia "
Torino;28/4/2018;"18";"15";"21";"13";"73";"21";"6";"24";"0";"1014";"0";"0";"pioggia temporale "
Torino;29/4/2018;"17";"13";"22";"13";"78";"20";"11";"31";"0";"1010";"0";"0";"pioggia temporale "
Torino;30/4/2018;"15";"10";"21";"8";"63";"20";"10";"17";"0";"1008";"0";"0";""
