LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/6/2019;"21";"14";"27";"13";"61";"22";"5";"9";"0";"1021";"0";"0";""
Torino;2/6/2019;"23";"16";"28";"14";"60";"20";"6";"9";"0";"1018";"0";"0";""
Torino;3/6/2019;"23";"17";"29";"15";"60";"20";"8";"33";"0";"1016";"0";"0";"pioggia "
Torino;4/6/2019;"23";"17";"29";"14";"59";"21";"6";"13";"0";"1013";"0";"0";""
Torino;5/6/2019;"21";"17";"26";"16";"74";"21";"10";"30";"0";"1010";"0";"0";"pioggia temporale "
Torino;6/6/2019;"19";"14";"23";"14";"74";"20";"11";"22";"0";"1012";"0";"0";"pioggia temporale "
Torino;7/6/2019;"18";"15";"21";"13";"72";"18";"10";"15";"0";"1017";"0";"0";"pioggia temporale "
Torino;8/6/2019;"22";"15";"27";"13";"61";"22";"6";"13";"0";"1020";"0";"0";""
Torino;9/6/2019;"21";"17";"24";"15";"71";"19";"8";"15";"0";"1021";"0";"0";"pioggia "
Torino;10/6/2019;"20";"17";"23";"16";"77";"19";"8";"22";"0";"1013";"0";"0";"pioggia temporale "
Torino;11/6/2019;"18";"13";"22";"14";"78";"19";"9";"24";"0";"1009";"0";"0";"pioggia temporale "
Torino;12/6/2019;"20";"16";"26";"14";"71";"21";"9";"21";"0";"1010";"0";"0";"pioggia temporale "
Torino;13/6/2019;"19";"12";"25";"11";"62";"20";"7";"13";"0";"1015";"0";"0";""
Torino;14/6/2019;"22";"15";"28";"12";"56";"21";"8";"15";"0";"1018";"0";"0";"pioggia "
Torino;15/6/2019;"22";"17";"27";"16";"69";"18";"7";"30";"0";"1015";"0";"0";"pioggia temporale "
Torino;16/6/2019;"22";"14";"29";"12";"58";"19";"6";"11";"0";"1015";"0";"0";""
Torino;17/6/2019;"24";"18";"28";"14";"56";"20";"8";"15";"0";"1016";"0";"0";""
Torino;18/6/2019;"24";"18";"29";"16";"61";"20";"7";"21";"0";"1016";"0";"0";""
Torino;19/6/2019;"24";"19";"30";"15";"59";"21";"7";"15";"0";"1013";"0";"0";""
Torino;20/6/2019;"23";"19";"27";"17";"70";"19";"9";"18";"0";"1013";"0";"0";"pioggia temporale "
Torino;21/6/2019;"21";"18";"26";"17";"80";"19";"8";"18";"0";"1015";"0";"0";"pioggia temporale "
Torino;22/6/2019;"21";"17";"23";"16";"78";"17";"8";"22";"0";"1016";"0";"0";"pioggia "
Torino;23/6/2019;"23";"15";"29";"15";"65";"20";"5";"9";"0";"1015";"0";"0";""
Torino;24/6/2019;"25";"18";"30";"17";"62";"19";"5";"9";"0";"1019";"0";"0";""
Torino;25/6/2019;"27";"21";"33";"19";"65";"18";"6";"11";"0";"1022";"0";"0";""
Torino;26/6/2019;"29";"24";"34";"21";"64";"21";"6";"11";"0";"1024";"0";"0";""
Torino;27/6/2019;"30";"24";"37";"21";"58";"21";"8";"13";"0";"1020";"0";"0";""
Torino;28/6/2019;"30";"22";"36";"17";"46";"21";"8";"13";"0";"1015";"0";"0";""
Torino;29/6/2019;"28";"25";"31";"19";"59";"19";"10";"17";"0";"1019";"0";"0";""
Torino;30/6/2019;"28";"22";"33";"19";"60";"20";"6";"13";"0";"1020";"0";"0";""
