LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/7/2019;"27";"22";"34";"20";"65";"21";"9";"35";"0";"1018";"0";"0";"pioggia temporale "
Torino;2/7/2019;"26";"19";"32";"15";"54";"21";"11";"31";"0";"1016";"0";"0";"pioggia "
Torino;3/7/2019;"24";"19";"30";"16";"62";"20";"11";"31";"0";"1016";"0";"0";"pioggia temporale "
Torino;4/7/2019;"24";"18";"30";"17";"62";"19";"7";"15";"0";"1018";"0";"0";""
Torino;5/7/2019;"27";"21";"33";"18";"61";"20";"6";"13";"0";"1016";"0";"0";""
Torino;6/7/2019;"27";"20";"33";"19";"63";"21";"6";"24";"0";"1012";"0";"0";""
Torino;7/7/2019;"26";"20";"32";"20";"69";"19";"8";"15";"0";"1009";"0";"0";""
Torino;8/7/2019;"26";"20";"31";"16";"55";"20";"7";"15";"0";"1011";"0";"0";""
Torino;9/7/2019;"24";"20";"28";"18";"69";"18";"9";"30";"0";"1011";"0";"0";"pioggia temporale "
Torino;10/7/2019;"24";"19";"28";"18";"72";"18";"8";"13";"0";"1012";"0";"0";"pioggia "
Torino;11/7/2019;"23";"21";"26";"16";"64";"18";"9";"13";"0";"1014";"0";"0";""
Torino;12/7/2019;"24";"17";"31";"16";"63";"20";"6";"13";"0";"1012";"0";"0";""
Torino;13/7/2019;"25";"19";"30";"15";"55";"20";"9";"15";"0";"1010";"0";"0";""
Torino;14/7/2019;"23";"18";"28";"13";"54";"20";"11";"21";"0";"1011";"0";"0";"pioggia "
Torino;15/7/2019;"17";"14";"22";"15";"85";"13";"12";"26";"0";"1012";"0";"0";"pioggia "
Torino;16/7/2019;"21";"12";"28";"12";"60";"20";"6";"11";"0";"1015";"0";"0";""
Torino;17/7/2019;"23";"17";"29";"15";"60";"20";"7";"13";"0";"1013";"0";"0";""
Torino;18/7/2019;"23";"19";"28";"16";"64";"19";"7";"15";"0";"1012";"0";"0";""
Torino;19/7/2019;"24";"19";"29";"17";"68";"19";"7";"13";"0";"1016";"0";"0";""
Torino;20/7/2019;"25";"22";"30";"18";"66";"19";"7";"11";"0";"1018";"0";"0";""
Torino;21/7/2019;"26";"22";"31";"20";"67";"20";"5";"8";"0";"1020";"0";"0";""
Torino;22/7/2019;"27";"21";"32";"20";"66";"20";"6";"11";"0";"1022";"0";"0";""
Torino;23/7/2019;"28";"23";"32";"21";"65";"20";"6";"11";"0";"1020";"0";"0";""
Torino;24/7/2019;"29";"22";"34";"21";"65";"19";"6";"13";"0";"1017";"0";"0";""
Torino;25/7/2019;"29";"24";"34";"22";"65";"20";"8";"17";"0";"1017";"0";"0";"pioggia temporale "
Torino;26/7/2019;"28";"21";"34";"19";"61";"19";"10";"35";"0";"1012";"0";"0";"pioggia temporale "
Torino;27/7/2019;"21";"18";"27";"18";"80";"20";"9";"28";"0";"1005";"0";"0";"pioggia temporale "
Torino;28/7/2019;"23";"19";"28";"17";"73";"18";"8";"13";"0";"1000";"0";"0";""
Torino;29/7/2019;"26";"20";"31";"16";"56";"21";"7";"13";"0";"1006";"0";"0";""
Torino;30/7/2019;"26";"19";"31";"18";"63";"21";"5";"9";"0";"1011";"0";"0";""
Torino;31/7/2019;"25";"20";"29";"19";"70";"21";"7";"13";"0";"1013";"0";"0";"pioggia temporale "
