LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/10/2019;"19";"13";"24";"14";"73";"20";"6";"11";"0";"1012";"0";"0";"pioggia temporale "
Torino;2/10/2019;"19";"14";"24";"13";"72";"19";"7";"15";"0";"1005";"0";"0";"pioggia temporale nebbia "
Torino;3/10/2019;"16";"10";"22";"5";"43";"19";"7";"11";"0";"1011";"0";"0";""
Torino;4/10/2019;"14";"9";"19";"6";"59";"21";"8";"15";"0";"1013";"0";"0";""
Torino;5/10/2019;"15";"7";"22";"7";"66";"21";"6";"11";"0";"1010";"0";"0";""
Torino;6/10/2019;"15";"9";"19";"10";"73";"15";"7";"13";"0";"1013";"0";"0";""
Torino;7/10/2019;"16";"11";"21";"10";"71";"12";"7";"18";"0";"1013";"0";"0";"pioggia nebbia "
Torino;8/10/2019;"14";"8";"19";"9";"71";"18";"7";"11";"0";"1019";"0";"0";""
Torino;9/10/2019;"14";"14";"15";"12";"87";"11";"6";"15";"0";"1017";"0";"0";"pioggia "
Torino;10/10/2019;"14";"11";"19";"10";"80";"9";"5";"13";"0";"1016";"0";"0";"nebbia "
Torino;11/10/2019;"14";"8";"20";"8";"71";"21";"6";"11";"0";"1023";"0";"0";""
Torino;12/10/2019;"14";"9";"20";"10";"75";"13";"4";"9";"0";"1024";"0";"0";""
Torino;13/10/2019;"15";"10";"20";"11";"78";"8";"5";"9";"0";"1024";"0";"0";""
Torino;14/10/2019;"16";"14";"20";"12";"75";"12";"4";"11";"0";"1022";"0";"0";""
Torino;15/10/2019;"15";"13";"17";"14";"94";"9";"8";"18";"0";"1012";"0";"0";"pioggia nebbia "
Torino;16/10/2019;"14";"10";"20";"10";"77";"16";"6";"11";"0";"1016";"0";"0";""
Torino;17/10/2019;"15";"10";"20";"10";"76";"21";"5";"9";"0";"1019";"0";"0";""
Torino;18/10/2019;"15";"13";"17";"13";"87";"9";"5";"8";"0";"1018";"0";"0";""
Torino;19/10/2019;"15";"14";"16";"14";"94";"4";"7";"11";"0";"1015";"0";"0";"pioggia "
Torino;20/10/2019;"15";"15";"16";"15";"99";"3";"6";"11";"0";"1017";"0";"0";"pioggia nebbia "
Torino;21/10/2019;"16";"15";"16";"16";"100";"5";"9";"17";"0";"1020";"0";"0";"pioggia "
Torino;22/10/2019;"17";"16";"19";"16";"97";"4";"6";"13";"0";"1023";"0";"0";"pioggia nebbia "
Torino;23/10/2019;"16";"13";"18";"15";"94";"6";"5";"17";"0";"1020";"0";"0";"pioggia nebbia "
Torino;24/10/2019;"15";"13";"16";"14";"94";"6";"14";"22";"0";"1016";"0";"0";"pioggia "
Torino;25/10/2019;"15";"10";"21";"12";"83";"20";"5";"11";"0";"1020";"0";"0";"nebbia "
Torino;26/10/2019;"15";"9";"22";"11";"75";"20";"5";"9";"0";"1024";"0";"0";""
Torino;27/10/2019;"15";"9";"22";"10";"74";"20";"5";"11";"0";"1021";"0";"0";""
Torino;28/10/2019;"15";"11";"19";"12";"82";"20";"5";"9";"0";"1016";"0";"0";""
Torino;29/10/2019;"15";"14";"16";"14";"97";"3";"4";"9";"0";"1016";"0";"0";"pioggia nebbia "
Torino;30/10/2019;"14";"11";"16";"14";"98";"2";"8";"17";"0";"1020";"0";"0";"pioggia nebbia "
Torino;31/10/2019;"11";"10";"11";"10";"94";"4";"6";"11";"0";"1020";"0";"0";"pioggia "
