LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/12/2019;"6";"5";"7";"6";"98";"5";"9";"13";"0";"1020";"0";"0";"pioggia nebbia "
Torino;2/12/2019;"5";"1";"11";"4";"89";"15";"6";"9";"0";"1016";"0";"0";"nebbia "
Torino;3/12/2019;"7";"5";"8";"6";"91";"18";"5";"9";"0";"1024";"0";"0";"pioggia "
Torino;4/12/2019;"5";"1";"7";"2";"79";"20";"5";"8";"0";"1025";"0";"0";""
Torino;5/12/2019;"3";"-1";"8";"1";"84";"16";"5";"9";"0";"1025";"0";"0";""
Torino;6/12/2019;"3";"-1";"8";"1";"81";"12";"4";"8";"0";"1024";"0";"0";""
Torino;7/12/2019;"4";"-1";"11";"1";"75";"15";"4";"8";"0";"1019";"0";"0";""
Torino;8/12/2019;"5";"0";"10";"3";"79";"9";"4";"11";"0";"1019";"0";"0";""
Torino;9/12/2019;"6";"3";"12";"4";"84";"14";"6";"11";"0";"1009";"0";"0";""
Torino;10/12/2019;"7";"2";"12";"2";"51";"19";"7";"15";"0";"1017";"0";"0";""
Torino;11/12/2019;"3";"0";"5";"0";"66";"20";"6";"13";"0";"1016";"0";"0";""
Torino;12/12/2019;"2";"-1";"3";"1";"88";"9";"5";"9";"0";"1005";"0";"0";""
Torino;13/12/2019;"2";"0";"3";"1";"91";"10";"5";"11";"0";"993";"0";"0";"neve "
Torino;14/12/2019;"5";"2";"11";"2";"76";"19";"7";"11";"0";"1001";"0";"0";"pioggia "
Torino;15/12/2019;"5";"2";"8";"3";"80";"12";"6";"13";"0";"1015";"0";"0";""
Torino;16/12/2019;"7";"5";"9";"5";"93";"5";"4";"9";"0";"1020";"0";"0";"pioggia nebbia "
Torino;17/12/2019;"8";"7";"9";"8";"100";"3";"4";"9";"0";"1019";"0";"0";"pioggia "
Torino;18/12/2019;"9";"8";"10";"9";"100";"3";"4";"11";"0";"1023";"0";"0";"pioggia nebbia "
Torino;19/12/2019;"10";"9";"11";"10";"99";"5";"6";"13";"0";"1020";"0";"0";"pioggia "
Torino;20/12/2019;"8";"6";"9";"8";"99";"7";"9";"15";"0";"1005";"0";"0";"pioggia nebbia "
Torino;21/12/2019;"8";"5";"13";"6";"90";"19";"7";"13";"0";"994";"0";"0";"pioggia "
Torino;22/12/2019;"10";"6";"16";"6";"64";"18";"17";"50";"0";"991";"0";"0";"pioggia "
Torino;23/12/2019;"11";"5";"15";"0";"38";"20";"18";"35";"0";"1007";"0";"0";""
Torino;24/12/2019;"9";"2";"19";"2";"45";"20";"9";"42";"0";"1015";"0";"0";""
Torino;25/12/2019;"10";"5";"18";"2";"44";"21";"9";"31";"0";"1015";"0";"0";""
Torino;26/12/2019;"6";"1";"10";"0";"55";"20";"6";"13";"0";"1021";"0";"0";""
Torino;27/12/2019;"4";"0";"9";"0";"68";"18";"5";"9";"0";"1022";"0";"0";""
Torino;28/12/2019;"3";"-1";"10";"2";"79";"14";"5";"11";"0";"1030";"0";"0";""
Torino;29/12/2019;"3";"0";"8";"2";"84";"7";"5";"9";"0";"1033";"0";"0";""
Torino;30/12/2019;"2";"-1";"4";"2";"96";"1";"5";"11";"0";"1036";"0";"0";"pioggia nebbia "
Torino;31/12/2019;"2";"-2";"10";"1";"81";"11";"4";"9";"0";"1030";"0";"0";"nebbia "
