LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/1/2020;"4";"-1";"10";"1";"71";"17";"5";"11";"0";"1030";"0";"0";""
Torino;2/1/2020;"4";"0";"10";"1";"71";"18";"6";"11";"0";"1032";"0";"0";""
Torino;3/1/2020;"3";"0";"7";"2";"79";"21";"4";"9";"0";"1027";"0";"0";""
Torino;4/1/2020;"5";"-1";"14";"1";"65";"20";"5";"11";"0";"1024";"0";"0";""
Torino;5/1/2020;"6";"2";"12";"1";"59";"20";"6";"17";"0";"1027";"0";"0";""
Torino;6/1/2020;"4";"0";"8";"1";"73";"13";"6";"11";"0";"1031";"0";"0";""
Torino;7/1/2020;"1";"-2";"8";"1";"88";"5";"4";"11";"0";"1026";"0";"0";"nebbia "
Torino;8/1/2020;"2";"-4";"9";"2";"85";"6";"4";"9";"0";"1030";"0";"0";"nebbia "
Torino;9/1/2020;"3";"-1";"9";"1";"73";"17";"4";"9";"0";"1026";"0";"0";""
Torino;10/1/2020;"5";"1";"11";"2";"73";"21";"5";"11";"0";"1024";"0";"0";""
Torino;11/1/2020;"5";"0";"12";"1";"66";"21";"5";"11";"0";"1028";"0";"0";""
Torino;12/1/2020;"4";"0";"9";"2";"64";"22";"5";"13";"0";"1028";"0";"0";""
Torino;13/1/2020;"2";"-1";"7";"1";"78";"12";"4";"8";"0";"1025";"0";"0";""
Torino;14/1/2020;"2";"-2";"8";"1";"81";"9";"5";"9";"0";"1025";"0";"0";"nebbia "
Torino;15/1/2020;"3";"-1";"8";"1";"73";"8";"4";"9";"0";"1028";"0";"0";""
Torino;16/1/2020;"3";"-2";"9";"1";"74";"19";"4";"8";"0";"1030";"0";"0";""
Torino;17/1/2020;"4";"-1";"9";"2";"75";"16";"4";"9";"0";"1025";"0";"0";"pioggia "
Torino;18/1/2020;"5";"0";"10";"3";"84";"14";"7";"13";"0";"1022";"0";"0";"pioggia nebbia "
Torino;19/1/2020;"3";"-3";"9";"0";"64";"18";"6";"13";"0";"1028";"0";"0";""
Torino;20/1/2020;"4";"0";"9";"0";"58";"20";"6";"15";"0";"1040";"0";"0";"pioggia "
Torino;21/1/2020;"2";"-1";"6";"0";"61";"21";"4";"8";"0";"1041";"0";"0";""
Torino;22/1/2020;"3";"-2";"10";"0";"61";"21";"5";"8";"0";"1033";"0";"0";""
Torino;23/1/2020;"3";"-2";"8";"0";"67";"13";"5";"11";"0";"1030";"0";"0";""
Torino;24/1/2020;"3";"-1";"8";"0";"72";"13";"6";"9";"0";"1026";"0";"0";""
Torino;25/1/2020;"5";"1";"10";"1";"68";"7";"4";"8";"0";"1024";"0";"0";""
Torino;26/1/2020;"4";"-1";"9";"1";"74";"9";"5";"9";"0";"1021";"0";"0";""
Torino;27/1/2020;"4";"-2";"10";"2";"77";"8";"5";"11";"0";"1018";"0";"0";""
Torino;28/1/2020;"6";"4";"10";"4";"85";"5";"5";"15";"0";"1008";"0";"0";""
Torino;29/1/2020;"8";"2";"16";"2";"61";"14";"12";"31";"0";"1010";"0";"0";""
Torino;30/1/2020;"7";"2";"12";"4";"61";"21";"6";"11";"0";"1018";"0";"0";""
Torino;31/1/2020;"7";"1";"15";"4";"73";"20";"5";"11";"0";"1018";"0";"0";""
