LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/9/2020;"19";"12";"26";"11";"61";"19";"5";"9";"0";"1012";"0";"0";""
Torino;2/9/2020;"19";"16";"23";"14";"74";"19";"9";"21";"0";"1015";"0";"0";"pioggia "
Torino;3/9/2020;"20";"14";"26";"14";"68";"20";"6";"9";"0";"1021";"0";"0";""
Torino;4/9/2020;"21";"15";"28";"15";"67";"19";"6";"11";"0";"1025";"0";"0";""
Torino;5/9/2020;"22";"16";"28";"16";"69";"19";"6";"11";"0";"1020";"0";"0";""
Torino;6/9/2020;"21";"16";"27";"16";"73";"21";"8";"18";"0";"1013";"0";"0";"pioggia temporale "
Torino;7/9/2020;"20";"17";"24";"15";"77";"21";"6";"13";"0";"1017";"0";"0";"pioggia "
Torino;8/9/2020;"20";"14";"26";"14";"70";"21";"6";"11";"0";"1025";"0";"0";""
Torino;9/9/2020;"22";"16";"27";"15";"69";"22";"7";"11";"0";"1024";"0";"0";""
Torino;10/9/2020;"22";"17";"28";"16";"70";"20";"6";"11";"0";"1018";"0";"0";""
Torino;11/9/2020;"22";"19";"25";"17";"77";"17";"6";"13";"0";"1016";"0";"0";"pioggia temporale "
Torino;12/9/2020;"23";"17";"29";"16";"67";"18";"6";"11";"0";"1018";"0";"0";""
Torino;13/9/2020;"24";"17";"30";"17";"65";"20";"6";"9";"0";"1024";"0";"0";""
Torino;14/9/2020;"24";"19";"30";"17";"67";"20";"6";"11";"0";"1027";"0";"0";""
Torino;15/9/2020;"24";"18";"30";"16";"66";"19";"6";"13";"0";"1023";"0";"0";""
Torino;16/9/2020;"24";"18";"30";"15";"61";"20";"7";"15";"0";"1019";"0";"0";""
Torino;17/9/2020;"24";"17";"30";"13";"53";"21";"7";"15";"0";"1017";"0";"0";""
Torino;18/9/2020;"23";"17";"29";"14";"59";"20";"7";"13";"0";"1020";"0";"0";""
Torino;19/9/2020;"21";"19";"24";"15";"70";"20";"7";"11";"0";"1020";"0";"0";"pioggia "
Torino;20/9/2020;"20";"18";"24";"16";"76";"12";"6";"11";"0";"1016";"0";"0";"pioggia "
Torino;21/9/2020;"19";"16";"23";"16";"82";"16";"8";"18";"0";"1017";"0";"0";"pioggia temporale "
Torino;22/9/2020;"18";"17";"21";"16";"85";"17";"7";"15";"0";"1015";"0";"0";"pioggia "
Torino;23/9/2020;"19";"16";"23";"15";"81";"13";"6";"9";"0";"1010";"0";"0";"pioggia "
Torino;24/9/2020;"18";"16";"22";"16";"85";"19";"5";"11";"0";"1009";"0";"0";"pioggia temporale "
Torino;25/9/2020;"15";"10";"20";"11";"79";"12";"9";"28";"0";"997";"0";"0";"pioggia temporale nebbia "
Torino;26/9/2020;"14";"8";"20";"4";"39";"19";"13";"31";"0";"999";"0";"0";""
Torino;27/9/2020;"12";"5";"18";"3";"51";"20";"8";"13";"0";"1004";"0";"0";""
Torino;28/9/2020;"14";"6";"21";"5";"61";"19";"7";"13";"0";"1007";"0";"0";""
Torino;29/9/2020;"15";"10";"21";"8";"61";"20";"5";"11";"0";"1016";"0";"0";""
Torino;30/9/2020;"16";"10";"22";"11";"73";"21";"5";"9";"0";"1015";"0";"0";""
