LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/11/2020;"9";"5";"14";"9";"98";"1";"4";"9";"0";"1022";"0";"0";"nebbia "
Torino;2/11/2020;"11";"6";"16";"10";"94";"4";"5";"9";"0";"1023";"0";"0";"nebbia "
Torino;3/11/2020;"13";"11";"15";"12";"94";"3";"3";"5";"0";"1023";"0";"0";""
Torino;4/11/2020;"13";"12";"16";"12";"92";"5";"4";"9";"0";"1023";"0";"0";"pioggia nebbia "
Torino;5/11/2020;"13";"9";"18";"10";"87";"10";"6";"9";"0";"1029";"0";"0";""
Torino;6/11/2020;"13";"9";"17";"11";"88";"5";"4";"8";"0";"1031";"0";"0";""
Torino;7/11/2020;"11";"6";"16";"8";"81";"13";"4";"8";"0";"1029";"0";"0";""
Torino;8/11/2020;"12";"8";"18";"8";"79";"18";"4";"9";"0";"1026";"0";"0";"pioggia "
Torino;9/11/2020;"11";"5";"17";"7";"78";"21";"4";"9";"0";"1024";"0";"0";""
Torino;10/11/2020;"11";"6";"17";"7";"79";"21";"5";"9";"0";"1024";"0";"0";""
Torino;11/11/2020;"10";"5";"15";"7";"86";"10";"6";"11";"0";"1024";"0";"0";"nebbia "
Torino;12/11/2020;"10";"10";"12";"10";"96";"2";"4";"9";"0";"1024";"0";"0";"pioggia nebbia "
Torino;13/11/2020;"10";"7";"13";"8";"86";"4";"4";"9";"0";"1025";"0";"0";""
Torino;14/11/2020;"8";"4";"14";"6";"84";"11";"4";"8";"0";"1025";"0";"0";""
Torino;15/11/2020;"8";"4";"10";"6";"91";"4";"4";"8";"0";"1022";"0";"0";"nebbia "
Torino;16/11/2020;"9";"5";"15";"7";"85";"9";"5";"9";"0";"1018";"0";"0";"nebbia "
Torino;17/11/2020;"8";"3";"14";"5";"81";"14";"5";"15";"0";"1027";"0";"0";""
Torino;18/11/2020;"9";"4";"15";"5";"76";"11";"5";"9";"0";"1029";"0";"0";""
Torino;19/11/2020;"8";"2";"14";"4";"79";"10";"5";"11";"0";"1022";"0";"0";""
Torino;20/11/2020;"7";"1";"16";"2";"61";"16";"6";"13";"0";"1022";"0";"0";""
Torino;21/11/2020;"6";"0";"10";"1";"66";"20";"6";"13";"0";"1032";"0";"0";""
Torino;22/11/2020;"4";"-1";"10";"0";"68";"20";"5";"9";"0";"1031";"0";"0";""
Torino;23/11/2020;"4";"-2";"10";"1";"67";"20";"5";"9";"0";"1027";"0";"0";""
Torino;24/11/2020;"5";"0";"12";"1";"69";"15";"5";"9";"0";"1027";"0";"0";""
Torino;25/11/2020;"5";"-1";"12";"1";"67";"15";"4";"9";"0";"1023";"0";"0";""
Torino;26/11/2020;"4";"0";"11";"1";"70";"15";"5";"9";"0";"1024";"0";"0";""
Torino;27/11/2020;"5";"0";"11";"2";"74";"8";"4";"11";"0";"1022";"0";"0";""
Torino;28/11/2020;"5";"2";"8";"2";"84";"4";"5";"9";"0";"1018";"0";"0";""
Torino;29/11/2020;"6";"2";"12";"2";"78";"13";"6";"13";"0";"1017";"0";"0";""
Torino;30/11/2020;"5";"1";"7";"3";"88";"8";"5";"11";"0";"1022";"0";"0";""
