LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/8/2021;"21";"18";"26";"18";"81";"18";"8";"21";"0";"1006";"0";"0";"pioggia temporale "
Torino;2/8/2021;"21";"16";"26";"13";"62";"20";"8";"15";"0";"1012";"0";"0";""
Torino;3/8/2021;"20";"16";"24";"16";"78";"20";"9";"21";"0";"1015";"0";"0";"pioggia temporale "
Torino;4/8/2021;"19";"17";"21";"17";"87";"21";"6";"9";"0";"1012";"0";"0";"pioggia "
Torino;5/8/2021;"22";"17";"28";"17";"75";"14";"6";"11";"0";"1008";"0";"0";""
Torino;6/8/2021;"23";"16";"28";"16";"64";"21";"7";"11";"0";"1008";"0";"0";""
Torino;7/8/2021;"21";"19";"24";"19";"86";"20";"8";"17";"0";"1008";"0";"0";"pioggia temporale "
Torino;8/8/2021;"22";"15";"28";"17";"72";"20";"6";"15";"0";"1011";"0";"0";"nebbia "
Torino;9/8/2021;"24";"17";"28";"16";"64";"19";"6";"11";"0";"1017";"0";"0";""
Torino;10/8/2021;"24";"19";"29";"16";"63";"21";"6";"13";"0";"1019";"0";"0";""
Torino;11/8/2021;"25";"19";"31";"18";"66";"20";"6";"11";"0";"1018";"0";"0";""
Torino;12/8/2021;"26";"20";"32";"18";"61";"21";"8";"30";"0";"1020";"0";"0";"pioggia temporale "
Torino;13/8/2021;"27";"19";"34";"16";"54";"21";"7";"11";"0";"1022";"0";"0";"pioggia "
Torino;14/8/2021;"28";"21";"33";"18";"58";"21";"7";"13";"0";"1021";"0";"0";""
Torino;15/8/2021;"28";"23";"33";"19";"61";"21";"7";"11";"0";"1016";"0";"0";""
Torino;16/8/2021;"27";"22";"31";"18";"60";"19";"9";"18";"0";"1010";"0";"0";""
Torino;17/8/2021;"23";"18";"30";"12";"52";"20";"8";"17";"0";"1012";"0";"0";""
Torino;18/8/2021;"23";"18";"28";"14";"57";"21";"9";"15";"0";"1015";"0";"0";""
Torino;19/8/2021;"24";"21";"27";"13";"54";"20";"9";"13";"0";"1015";"0";"0";""
Torino;20/8/2021;"24";"19";"29";"15";"59";"21";"7";"11";"0";"1016";"0";"0";""
Torino;21/8/2021;"25";"19";"31";"16";"61";"19";"6";"11";"0";"1018";"0";"0";""
Torino;22/8/2021;"25";"20";"30";"17";"61";"21";"7";"13";"0";"1017";"0";"0";""
Torino;23/8/2021;"24";"18";"30";"15";"60";"19";"10";"21";"0";"1014";"0";"0";"pioggia "
Torino;24/8/2021;"22";"10";"27";"15";"68";"19";"7";"18";"0";"1016";"0";"0";"pioggia temporale "
Torino;25/8/2021;"22";"16";"27";"14";"62";"20";"7";"11";"0";"1016";"0";"0";""
Torino;26/8/2021;"22";"16";"29";"14";"60";"20";"7";"13";"0";"1011";"0";"0";""
Torino;27/8/2021;"20";"16";"24";"15";"71";"21";"10";"18";"0";"1009";"0";"0";""
Torino;28/8/2021;"21";"17";"25";"11";"56";"18";"7";"13";"0";"1013";"0";"0";"pioggia "
Torino;29/8/2021;"20";"12";"27";"10";"56";"20";"7";"13";"0";"1013";"0";"0";""
Torino;30/8/2021;"21";"14";"27";"11";"57";"21";"8";"11";"0";"1013";"0";"0";""
Torino;31/8/2021;"21";"17";"26";"14";"66";"19";"8";"13";"0";"1016";"0";"0";"pioggia temporale "
