LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/2/2022;"5";"-1";"12";"0";"38";"20";"7";"17";"0";"1014";"0";"0";""
Torino;2/2/2022;"9";"1";"18";"0";"44";"18";"9";"21";"0";"1013";"0";"0";""
Torino;3/2/2022;"8";"3";"12";"2";"61";"20";"8";"17";"0";"1020";"0";"0";""
Torino;4/2/2022;"6";"2";"12";"2";"74";"11";"6";"11";"0";"1018";"0";"0";""
Torino;5/2/2022;"6";"1";"15";"3";"76";"5";"6";"11";"0";"1019";"0";"0";"nebbia "
Torino;6/2/2022;"3";"0";"5";"3";"99";"1";"5";"9";"0";"1020";"0";"0";"nebbia "
Torino;7/2/2022;"9";"0";"17";"1";"46";"14";"18";"52";"0";"1015";"0";"0";"nebbia "
Torino;8/2/2022;"6";"-1";"15";"0";"38";"20";"6";"13";"0";"1029";"0";"0";""
Torino;9/2/2022;"6";"0";"14";"0";"51";"20";"5";"11";"0";"1030";"0";"0";""
Torino;10/2/2022;"7";"3";"12";"3";"67";"19";"5";"11";"0";"1026";"0";"0";""
Torino;11/2/2022;"7";"0";"13";"3";"76";"14";"6";"11";"0";"1023";"0";"0";""
Torino;12/2/2022;"5";"2";"8";"2";"74";"16";"8";"17";"0";"1030";"0";"0";"pioggia "
Torino;13/2/2022;"4";"-2";"9";"0";"63";"19";"4";"9";"0";"1025";"0";"0";""
Torino;14/2/2022;"4";"1";"6";"1";"66";"18";"4";"9";"0";"1018";"0";"0";"pioggia neve "
Torino;15/2/2022;"4";"-1";"11";"1";"83";"11";"6";"11";"0";"1012";"0";"0";"nebbia "
Torino;16/2/2022;"3";"-4";"9";"2";"84";"12";"6";"13";"0";"1016";"0";"0";"nebbia "
Torino;17/2/2022;"8";"0";"16";"3";"63";"20";"6";"11";"0";"1012";"0";"0";""
Torino;18/2/2022;"5";"3";"7";"4";"94";"8";"6";"13";"0";"1015";"0";"0";"nebbia "
Torino;19/2/2022;"9";"5";"13";"6";"85";"4";"4";"9";"0";"1015";"0";"0";""
Torino;20/2/2022;"8";"0";"16";"3";"69";"12";"5";"9";"0";"1017";"0";"0";"nebbia "
Torino;21/2/2022;"9";"2";"15";"4";"54";"16";"13";"39";"0";"1009";"0";"0";""
Torino;22/2/2022;"10";"1";"16";"0";"37";"21";"9";"18";"0";"1016";"0";"0";""
Torino;23/2/2022;"10";"2";"18";"0";"40";"21";"7";"15";"0";"1023";"0";"0";""
Torino;24/2/2022;"9";"4";"13";"1";"54";"21";"8";"13";"0";"1022";"0";"0";""
Torino;25/2/2022;"8";"2";"14";"1";"51";"19";"6";"11";"0";"1018";"0";"0";""
Torino;26/2/2022;"6";"-2";"14";"0";"27";"19";"9";"13";"0";"1025";"0";"0";""
Torino;27/2/2022;"6";"1";"11";"0";"37";"19";"8";"13";"0";"1026";"0";"0";""
Torino;28/2/2022;"5";"-2";"13";"0";"36";"19";"7";"17";"0";"1025";"0";"0";""
