LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/3/2022;"5";"2";"8";"0";"48";"20";"8";"22";"0";"1029";"0";"0";""
Torino;2/3/2022;"5";"-1";"11";"0";"49";"18";"6";"9";"0";"1022";"0";"0";""
Torino;3/3/2022;"8";"3";"14";"0";"47";"18";"5";"9";"0";"1015";"0";"0";""
Torino;4/3/2022;"7";"0";"12";"2";"61";"15";"8";"15";"0";"1013";"0";"0";"pioggia "
Torino;5/3/2022;"6";"3";"9";"0";"59";"20";"7";"15";"0";"1016";"0";"0";""
Torino;6/3/2022;"5";"2";"9";"0";"49";"21";"7";"11";"0";"1016";"0";"0";""
Torino;7/3/2022;"4";"-3";"10";"0";"52";"18";"5";"9";"0";"1017";"0";"0";""
Torino;8/3/2022;"4";"0";"7";"0";"58";"17";"6";"9";"0";"1021";"0";"0";""
Torino;9/3/2022;"5";"-2";"12";"0";"54";"18";"5";"9";"0";"1023";"0";"0";""
Torino;10/3/2022;"7";"-1";"14";"0";"48";"13";"6";"9";"0";"1024";"0";"0";""
Torino;11/3/2022;"6";"1";"9";"1";"61";"15";"8";"17";"0";"1026";"0";"0";""
Torino;12/3/2022;"5";"4";"7";"1";"62";"18";"6";"11";"0";"1027";"0";"0";"pioggia "
Torino;13/3/2022;"6";"3";"8";"1";"63";"18";"6";"17";"0";"1026";"0";"0";"pioggia "
Torino;14/3/2022;"7";"3";"11";"2";"64";"18";"7";"13";"0";"1032";"0";"0";"pioggia "
Torino;15/3/2022;"9";"5";"11";"6";"83";"6";"4";"9";"0";"1033";"0";"0";"pioggia "
Torino;16/3/2022;"8";"3";"15";"5";"83";"13";"5";"9";"0";"1025";"0";"0";""
Torino;17/3/2022;"9";"8";"11";"8";"90";"7";"6";"9";"0";"1027";"0";"0";"pioggia "
Torino;18/3/2022;"11";"8";"13";"5";"71";"10";"7";"15";"0";"1031";"0";"0";""
Torino;19/3/2022;"10";"4";"14";"2";"54";"19";"8";"15";"0";"1033";"0";"0";""
Torino;20/3/2022;"9";"3";"13";"0";"40";"20";"8";"13";"0";"1035";"0";"0";""
Torino;21/3/2022;"9";"5";"13";"0";"44";"20";"6";"11";"0";"1035";"0";"0";""
Torino;22/3/2022;"8";"1";"15";"0";"45";"19";"6";"9";"0";"1034";"0";"0";""
Torino;23/3/2022;"10";"2";"18";"0";"34";"21";"7";"13";"0";"1031";"0";"0";""
Torino;24/3/2022;"11";"3";"21";"0";"30";"20";"6";"11";"0";"1026";"0";"0";""
Torino;25/3/2022;"12";"4";"20";"0";"31";"22";"6";"13";"0";"1025";"0";"0";""
Torino;26/3/2022;"14";"5";"20";"0";"29";"19";"7";"13";"0";"1026";"0";"0";""
Torino;27/3/2022;"14";"6";"19";"0";"32";"19";"6";"15";"0";"1028";"0";"0";""
Torino;28/3/2022;"14";"5";"21";"0";"30";"21";"5";"11";"0";"1024";"0";"0";""
Torino;29/3/2022;"13";"7";"18";"3";"41";"20";"8";"13";"0";"1013";"0";"0";""
Torino;30/3/2022;"10";"9";"11";"7";"85";"13";"7";"13";"0";"1004";"0";"0";"pioggia "
Torino;31/3/2022;"11";"7";"16";"7";"81";"13";"5";"17";"0";"994";"0";"0";"pioggia temporale nebbia "
