LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Torino;1/5/2022;"16";"10";"22";"5";"52";"19";"7";"13";"0";"1015";"0";"0";""
Torino;2/5/2022;"16";"11";"21";"7";"57";"19";"8";"15";"0";"1014";"0";"0";""
Torino;3/5/2022;"16";"14";"19";"8";"62";"20";"10";"21";"0";"1015";"0";"0";"pioggia "
Torino;4/5/2022;"16";"12";"20";"10";"73";"20";"9";"22";"0";"1017";"0";"0";"pioggia temporale "
Torino;5/5/2022;"13";"12";"16";"11";"87";"17";"10";"22";"0";"1019";"0";"0";"pioggia "
Torino;6/5/2022;"13";"11";"15";"11";"87";"15";"9";"15";"0";"1020";"0";"0";"pioggia "
Torino;7/5/2022;"15";"12";"21";"12";"85";"15";"6";"17";"0";"1019";"0";"0";"pioggia temporale "
Torino;8/5/2022;"16";"13";"20";"13";"83";"16";"7";"22";"0";"1020";"0";"0";"pioggia "
Torino;9/5/2022;"18";"13";"23";"11";"67";"20";"6";"15";"0";"1023";"0";"0";"pioggia "
Torino;10/5/2022;"20";"12";"26";"11";"60";"21";"6";"9";"0";"1022";"0";"0";""
Torino;11/5/2022;"21";"14";"27";"13";"61";"20";"6";"9";"0";"1020";"0";"0";""
Torino;12/5/2022;"21";"14";"28";"14";"66";"19";"5";"11";"0";"1020";"0";"0";""
Torino;13/5/2022;"22";"16";"27";"15";"69";"20";"6";"15";"0";"1018";"0";"0";""
Torino;14/5/2022;"22";"17";"27";"15";"68";"20";"6";"9";"0";"1018";"0";"0";"pioggia temporale "
Torino;15/5/2022;"22";"18";"27";"15";"65";"21";"6";"15";"0";"1018";"0";"0";""
Torino;16/5/2022;"22";"16";"28";"14";"62";"20";"6";"15";"0";"1018";"0";"0";"pioggia temporale "
Torino;17/5/2022;"23";"16";"29";"15";"61";"20";"6";"13";"0";"1018";"0";"0";""
Torino;18/5/2022;"24";"18";"28";"15";"57";"18";"9";"18";"0";"1020";"0";"0";"pioggia temporale "
Torino;19/5/2022;"23";"19";"27";"12";"53";"20";"10";"15";"0";"1026";"0";"0";"pioggia "
Torino;20/5/2022;"23";"17";"29";"15";"62";"21";"6";"11";"0";"1025";"0";"0";""
Torino;21/5/2022;"24";"18";"31";"17";"67";"19";"7";"11";"0";"1018";"0";"0";""
Torino;22/5/2022;"24";"18";"28";"18";"71";"20";"6";"17";"0";"1012";"0";"0";"pioggia "
Torino;23/5/2022;"23";"19";"27";"18";"74";"20";"7";"17";"0";"1008";"0";"0";"pioggia temporale "
Torino;24/5/2022;"20";"15";"26";"14";"70";"20";"9";"26";"0";"1006";"0";"0";"pioggia temporale "
Torino;25/5/2022;"19";"16";"23";"16";"81";"18";"7";"15";"0";"1013";"0";"0";""
Torino;26/5/2022;"22";"16";"27";"15";"69";"20";"7";"15";"0";"1019";"0";"0";"pioggia temporale "
Torino;27/5/2022;"24";"17";"29";"16";"65";"20";"6";"9";"0";"1018";"0";"0";""
Torino;28/5/2022;"24";"17";"29";"12";"50";"21";"10";"35";"0";"1008";"0";"0";"pioggia temporale "
Torino;29/5/2022;"16";"13";"18";"11";"73";"18";"11";"22";"0";"1008";"0";"0";"pioggia "
Torino;30/5/2022;"16";"14";"19";"11";"70";"21";"8";"15";"0";"1010";"0";"0";""
Torino;31/5/2022;"18";"14";"22";"12";"67";"20";"6";"11";"0";"1015";"0";"0";""
