LOCALITA,TMEDIA °C,TMIN °C,TMAX °C,UMIDITA %,PRESSIONESLM mb,FENOMENI,STAGIONE
Torino,3.0,1.0,5.0,91.0,1011.0,1,winter
Torino,6.0,-1.0,14.0,60.0,1014.0,0,winter
Torino,4.0,0.0,6.0,68.0,1010.0,0,winter
Torino,8.0,3.0,12.0,66.0,1007.0,0,winter
Torino,4.0,1.0,6.0,93.0,1009.0,1,winter
Torino,6.0,5.0,7.0,95.0,1013.0,1,winter
Torino,8.0,6.0,9.0,97.0,1019.0,1,winter
Torino,10.0,9.0,11.0,94.0,1020.0,1,winter
Torino,8.0,7.0,10.0,91.0,1017.0,1,winter
Torino,7.0,5.0,9.0,87.0,1015.0,0,winter
Torino,5.0,1.0,10.0,80.0,1013.0,0,winter
Torino,4.0,1.0,9.0,76.0,1019.0,0,winter
Torino,4.0,0.0,10.0,70.0,1022.0,0,winter
Torino,2.0,0.0,6.0,84.0,1021.0,0,winter
Torino,3.0,0.0,7.0,76.0,1021.0,0,winter
Torino,3.0,0.0,6.0,83.0,1009.0,0,winter
Torino,6.0,0.0,11.0,48.0,1006.0,0,winter
Torino,4.0,0.0,9.0,47.0,1013.0,0,winter
Torino,6.0,-1.0,16.0,48.0,1008.0,0,winter
Torino,5.0,0.0,10.0,52.0,1010.0,1,winter
Torino,6.0,0.0,15.0,75.0,1007.0,1,winter
Torino,5.0,2.0,9.0,58.0,1014.0,0,winter
Torino,5.0,-1.0,13.0,64.0,1021.0,0,winter
Torino,4.0,0.0,9.0,76.0,1031.0,0,winter
Torino,4.0,0.0,7.0,79.0,1026.0,0,winter
Torino,5.0,4.0,5.0,96.0,1022.0,1,winter
Torino,7.0,3.0,12.0,83.0,1030.0,1,winter
Torino,6.0,1.0,13.0,82.0,1034.0,0,winter
Torino,5.0,-1.0,13.0,81.0,1030.0,0,winter
Torino,5.0,0.0,12.0,84.0,1027.0,0,winter
Torino,6.0,4.0,8.0,95.0,1021.0,0,winter
Torino,6.0,4.0,8.0,91.0,1005.0,0,winter
Torino,5.0,0.0,10.0,67.0,1003.0,0,winter
Torino,4.0,0.0,10.0,52.0,1002.0,0,winter
Torino,3.0,-1.0,7.0,60.0,1013.0,0,winter
Torino,2.0,1.0,3.0,89.0,1021.0,1,winter
Torino,2.0,2.0,3.0,93.0,1014.0,1,winter
Torino,4.0,0.0,9.0,87.0,1007.0,1,winter
Torino,6.0,1.0,10.0,76.0,1012.0,0,winter
Torino,5.0,3.0,8.0,81.0,1014.0,1,winter
Torino,5.0,2.0,10.0,70.0,1012.0,1,winter
Torino,4.0,-1.0,8.0,69.0,1010.0,0,winter
Torino,3.0,-2.0,8.0,67.0,1009.0,1,winter
Torino,2.0,-3.0,7.0,36.0,1012.0,0,winter
Torino,3.0,-2.0,8.0,45.0,1014.0,0,winter
Torino,3.0,-1.0,8.0,61.0,1021.0,0,winter
Torino,3.0,-1.0,9.0,68.0,1023.0,0,winter
Torino,5.0,3.0,6.0,86.0,1021.0,1,winter
Torino,3.0,0.0,5.0,97.0,1019.0,1,winter
